Category,Country,Customer Name,Discount,Order Date,Order ID,Product Name,Profit,Quantity,Region,Returned,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Office Supplies,United States,Darren Powers,0.2,03/01/13,CA-2011-103800,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",5.5512,2,Central,,16.448,Consumer,07/01/13,Standard Class,Texas,Paper
Office Supplies,United States,Phillina Ober,0.8,04/01/13,CA-2011-112326,GBC Standard Plastic Binding Systems Combs,-5.487,2,Central,,3.54,Home Office,08/01/13,Standard Class,Illinois,Binders
Office Supplies,United States,Phillina Ober,0.2,04/01/13,CA-2011-112326,Avery 508,4.2717,3,Central,,11.784,Home Office,08/01/13,Standard Class,Illinois,Labels
Office Supplies,United States,Phillina Ober,0.2,04/01/13,CA-2011-112326,SAFCO Boltless Steel Shelving,-64.7748,3,Central,,272.736,Home Office,08/01/13,Standard Class,Illinois,Storage
Office Supplies,United States,Mick Brown,0.2,05/01/13,CA-2011-141817,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",4.884,3,East,,19.536,Consumer,12/01/13,Standard Class,Pennsylvania,Art
Office Supplies,United States,Jack O'Briant,0,06/01/13,CA-2011-106054,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",5.2398,3,South,,12.78,Corporate,07/01/13,First Class,Georgia,Art
Office Supplies,United States,Lycoris Saunders,0,06/01/13,CA-2011-130813,Xerox 225,9.3312,3,West,,19.44,Consumer,08/01/13,Second Class,California,Paper
Furniture,United States,Maria Etezadi,0,06/01/13,CA-2011-167199,Global Deluxe High-Back Manager's Chair,746.4078,9,South,,2573.82,Home Office,10/01/13,Standard Class,Kentucky,Chairs
Office Supplies,United States,Maria Etezadi,0,06/01/13,CA-2011-167199,Rogers Handheld Barrel Pencil Sharpener,1.4796,2,South,,5.48,Home Office,10/01/13,Standard Class,Kentucky,Art
Office Supplies,United States,Maria Etezadi,0,06/01/13,CA-2011-167199,Ibico Hi-Tech Manual Binding System,274.491,2,South,,609.98,Home Office,10/01/13,Standard Class,Kentucky,Binders
Office Supplies,United States,Maria Etezadi,0,06/01/13,CA-2011-167199,"Alliance Super-Size Bands, Assorted Sizes",0.3112,4,South,,31.12,Home Office,10/01/13,Standard Class,Kentucky,Fasteners
Office Supplies,United States,Maria Etezadi,0,06/01/13,CA-2011-167199,Southworth 25% Cotton Granite Paper & Envelopes,3.0084,1,South,,6.54,Home Office,10/01/13,Standard Class,Kentucky,Paper
Technology,United States,Maria Etezadi,0,06/01/13,CA-2011-167199,GE 30524EE4,113.6742,2,South,,391.98,Home Office,10/01/13,Standard Class,Kentucky,Phones
Technology,United States,Maria Etezadi,0,06/01/13,CA-2011-167199,Wireless Extenders zBoost YX545 SOHO Signal Booster,204.1092,4,South,,755.96,Home Office,10/01/13,Standard Class,Kentucky,Phones
